Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,No. of Matched pairs in CurrBB in front: ,TTC Camera,TTC Lidar,
6,HARRIS,BRIEF,MAT_BF,SEL_KNN,16.7795,1008,0,6.7031,17.5922,491,54,9,12,
7,HARRIS,BRIEF,MAT_BF,SEL_KNN,17.4887,1149,0,6.91856,21.9929,517,71,10,34,
8,HARRIS,BRIEF,MAT_BF,SEL_KNN,27.1683,677,0,2.98775,15.1628,612,71,9,9,
9,HARRIS,BRIEF,MAT_BF,SEL_KNN,20.7356,364,0,2.02045,5.16766,371,51,7,18,
10,HARRIS,BRIEF,MAT_BF,SEL_KNN,19.8906,1028,0,4.3364,7.61754,201,25,10,18,
11,HARRIS,BRIEF,MAT_BF,SEL_KNN,19.8265,466,0,2.34661,9.65919,526,47,11,3,
12,HARRIS,BRIEF,MAT_BF,SEL_KNN,19.4791,581,0,2.76327,5.50291,279,35,11,-10,
13,HARRIS,BRIEF,MAT_BF,SEL_KNN,19.0168,634,0,2.93316,7.59529,370,52,13,9,
14,HARRIS,BRIEF,MAT_BF,SEL_KNN,19.31,443,0,2.4457,5.94253,392,46,11,10,
15,HARRIS,BRIEF,MAT_BF,SEL_KNN,17.8561,1082,0,6.33103,9.4881,252,22,11,8,
16,HARRIS,BRIEF,MAT_BF,SEL_KNN,17.6482,817,3,5.80881,17.1692,584,54,17,3,
17,HARRIS,BRIEF,MAT_BF,SEL_KNN,17.9338,340,0,3.21922,6.40234,426,38,11,-9,
18,HARRIS,BRIEF,MAT_BF,SEL_KNN,17.7034,433,38,3.8574,3.50375,203,0,-2147483648,8,

0,HARRIS,ORB,MAT_BF,SEL_KNN,17.9445,299,0,1.90746,0,0,,,,
1,HARRIS,ORB,MAT_BF,SEL_KNN,15.3366,820,0,3.61831,7.33857,156,14,-2147483648,12,
2,HARRIS,ORB,MAT_BF,SEL_KNN,14.5959,319,0,2.67098,8.15285,406,48,12,12,
3,HARRIS,ORB,MAT_BF,SEL_KNN,14.6593,583,0,3.33677,6.11597,176,22,11,13,
4,HARRIS,ORB,MAT_BF,SEL_KNN,14.7637,940,0,3.9321,12.7033,292,26,11,7,
5,HARRIS,ORB,MAT_BF,SEL_KNN,15.6592,913,0,3.73729,18.1416,446,46,10,16,
6,HARRIS,ORB,MAT_BF,SEL_KNN,16.2088,1008,0,4.02656,18.5737,486,54,10,12,
7,HARRIS,ORB,MAT_BF,SEL_KNN,18.2894,1149,0,4.67263,21.6334,514,72,5,34,
8,HARRIS,ORB,MAT_BF,SEL_KNN,18.6389,677,0,2.38433,15.2242,581,67,10,9,
9,HARRIS,ORB,MAT_BF,SEL_KNN,17.9228,364,0,2.78353,6.16396,356,52,2376,18,
10,HARRIS,ORB,MAT_BF,SEL_KNN,19.8259,1028,0,3.03395,7.49035,185,22,10,18,
11,HARRIS,ORB,MAT_BF,SEL_KNN,19.2518,466,0,2.068,9.90804,487,39,18,3,
12,HARRIS,ORB,MAT_BF,SEL_KNN,18.7342,581,0,2.87651,5.67544,267,25,11,-10,
13,HARRIS,ORB,MAT_BF,SEL_KNN,17.5622,634,0,3.66503,7.52822,329,44,13,9,
14,HARRIS,ORB,MAT_BF,SEL_KNN,19.1985,443,0,2.01575,6.45809,366,33,11,10,
15,HARRIS,ORB,MAT_BF,SEL_KNN,17.3969,1082,0,4.94235,9.51768,244,23,10,8,
16,HARRIS,ORB,MAT_BF,SEL_KNN,18.0398,817,3,4.12599,17.3614,611,,,,
17,HARRIS,ORB,MAT_BF,SEL_KNN,17.2058,340,0,2.66256,6.44806,417,37,11,-9,
18,HARRIS,ORB,MAT_BF,SEL_KNN,18.2109,433,38,2.91159,3.78035,204,17,11,8,

0,HARRIS,FREAK,MAT_BF,SEL_KNN,15.9686,299,0,50.4086,0,0,,,,
1,HARRIS,FREAK,MAT_BF,SEL_KNN,15.6952,820,0,55.5185,9.71499,164,17,-2147483648,12,
2,HARRIS,FREAK,MAT_BF,SEL_KNN,14.7595,319,0,50.9389,5.98279,370,48,10,12,
3,HARRIS,FREAK,MAT_BF,SEL_KNN,14.8013,583,0,53.411,4.1647,197,28,10,13,
4,HARRIS,FREAK,MAT_BF,SEL_KNN,14.5067,940,0,55.2897,13.0351,288,31,10,7,
5,HARRIS,FREAK,MAT_BF,SEL_KNN,15.5131,913,0,55.2457,19.0265,454,43,10,16,
6,HARRIS,FREAK,MAT_BF,SEL_KNN,16.1616,1008,0,53.8638,20.0981,473,53,10,12,
7,HARRIS,FREAK,MAT_BF,SEL_KNN,19.3086,1149,0,54.3652,24.8465,521,73,10,34,
8,HARRIS,FREAK,MAT_BF,SEL_KNN,18.0826,677,0,51.6304,18.0022,535,64,10,9,
9,HARRIS,FREAK,MAT_BF,SEL_KNN,19.1505,364,0,49.6362,7.63132,318,43,11,18,
10,HARRIS,FREAK,MAT_BF,SEL_KNN,17.5929,1028,0,53.6479,9.69094,219,27,23,18,
11,HARRIS,FREAK,MAT_BF,SEL_KNN,18.1819,466,0,50.0693,12.2854,455,54,5,3,
12,HARRIS,FREAK,MAT_BF,SEL_KNN,19.346,581,0,50.6386,5.96571,284,31,7,-10,
13,HARRIS,FREAK,MAT_BF,SEL_KNN,17.4551,634,0,51.9317,10.0095,347,53,11,9,
14,HARRIS,FREAK,MAT_BF,SEL_KNN,17.4081,443,0,49.6202,6.44625,347,38,10,10,
15,HARRIS,FREAK,MAT_BF,SEL_KNN,17.8006,1082,0,57.5974,12.3751,281,32,11,8,
16,HARRIS,FREAK,MAT_BF,SEL_KNN,19.3741,817,3,52.5187,20.6413,598,53,12,3,
17,HARRIS,FREAK,MAT_BF,SEL_KNN,17.7322,340,0,48.7829,6.0804,339,38,0,-9,
18,HARRIS,FREAK,MAT_BF,SEL_KNN,19.1671,433,38,48.6176,3.32067,195,21,6,8,

0,HARRIS,SIFT,MAT_BF,SEL_KNN,14.5605,299,0,19.7134,0,0,,,,
1,HARRIS,SIFT,MAT_BF,SEL_KNN,14.6038,820,0,23.7917,12.4298,165,6,-2147483648,12,
2,HARRIS,SIFT,MAT_BF,SEL_KNN,14.8267,319,0,20.0781,11.2796,410,46,10,12,
3,HARRIS,SIFT,MAT_BF,SEL_KNN,17.7058,583,0,24.2279,9.9247,195,20,10,13,
4,HARRIS,SIFT,MAT_BF,SEL_KNN,15.5685,940,0,25.2161,26.0253,319,32,18,7,
